Filename,original_vars,original_constraints,clausal_constraints,alk_constraints,alk_general,alk_amo,alk_vars_eliminated,alk_seconds,total_seconds,total_extracted_constraints,ple_real_time,extraction_real_time,cache_hits_verified,cache_hits_unverified,cache_misses,verification_time,testing_verification_time,sat_verification_time,bdd_verification_time,testing_successes,testing_failures,sat_successes,sat_failures,bdd_successes,bdd_failures
141919813972d24c105018164e96cb1e-edit_distance023_281,11083,155534,102660,1,1,0,9288,10.779,10.858,1,0.08,11.05,0,0,1,6.440,6.399,0.000,0.000,1,0,0,0,0,0
1575dcf4547f5854850b971013683c37-edit_distance007_85,2421,20331,12180,1,1,0,1974,1.598,1.608,1,0.02,1.64,0,0,1,0.836,0.831,0.000,0.000,1,0,0,0,0,0
1bb9929010e0c209f1e59dedba54d9ad-edit_distance023_282,11083,155517,102660,1,1,0,9287,10.697,10.789,1,0.08,10.99,0,0,1,6.390,6.348,0.000,0.000,1,0,0,0,0,0
273d42b3d97294b660745c7bc632474e-edit_distance025_450,11674,166925,102660,1,1,0,9875,13.864,13.967,1,0.10,14.18,0,0,1,9.196,9.149,0.000,0.000,1,0,0,0,0,0
3334919f6e241ce87c5b91ed90fc0c1c-edit_distance031_284,15257,236129,164220,1,1,0,12814,15.695,15.817,1,0.13,16.15,0,0,1,10.286,10.223,0.000,0.000,1,0,0,0,0,0
36c02f64976f4c45a9e6bfb361d08316-edit_distance031_283,15257,236146,164220,1,1,0,12815,15.638,15.758,1,0.12,16.09,0,0,1,10.276,10.213,0.000,0.000,1,0,0,0,0,0
57ed70b2b94469babf71c5ee4290800e-edit_distance025_448,11674,166969,102660,1,1,0,9877,13.756,13.841,1,0.09,14.04,0,0,1,9.109,9.063,0.000,0.000,1,0,0,0,0,0
9e469bffc3f862d6321d84a4ef83969c-edit_distance019_312,7851,96857,58800,1,1,0,6603,8.083,8.132,1,0.05,8.24,0,0,1,5.223,5.196,0.000,0.000,1,0,0,0,0,0
a7aac5c83f236fd8b3de3275e3f5499d-edit_distance041_183,24062,454094,352440,1,1,0,20043,23.044,23.275,1,0.29,24.01,0,0,1,14.354,14.232,0.000,0.000,1,0,0,0,0,0
c0c075a8f79bc59293c30651afc71b33-edit_distance025_449,11674,166947,102660,1,1,0,9876,13.799,13.885,1,0.10,14.09,0,0,1,9.162,9.116,0.000,0.000,1,0,0,0,0,0
c7a473fd916048e8d98f012294074328-edit_distance023_283,11083,155500,102660,1,1,0,9286,10.743,10.823,1,0.08,11.02,0,0,1,6.423,6.380,0.000,0.000,1,0,0,0,0,0
cd60db7535dddb69068778af69e6a267-edit_distance035_393,20585,354214,246480,1,1,0,17393,24.355,24.551,1,0.18,25.16,0,0,1,16.315,16.207,0.000,0.000,1,0,0,0,0,0
f157df1208c06caaa5cf11371704b87b-edit_distance041_182,24062,454108,352440,1,1,0,20044,23.039,23.278,1,0.23,24.00,0,0,1,14.407,14.287,0.000,0.000,1,0,0,0,0,0
