Filename,original_vars,original_constraints,clausal_constraints,alk_constraints,alk_general,alk_amo,alk_vars_eliminated,alk_seconds,total_seconds,total_extracted_constraints,ple_real_time,extraction_real_time,cache_hits_verified,cache_hits_unverified,cache_misses,verification_time,testing_verification_time,sat_verification_time,bdd_verification_time,testing_successes,testing_failures,sat_successes,sat_failures,bdd_successes,bdd_failures
00063d88244921d6ec46aeab6866a8e2-6s16,31486,91885,91885,0,-1,-1,-1,3.983,4.030,0,0.06,4.19,0,63,8,1.932,1.817,0.000,0.000,0,4,0,0,0,0
000a41cdca43be89ed62ea3abf2d0b64-snw_13_9_pre,24517,830517,830517,0,-1,-1,-1,54.927,55.449,0,0.45,57.10,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
002a0330958a14deb23dcc84b5489e8a-traffic_f_unknown,33320,763101,763101,0,-1,-1,-1,19.115,19.971,0,0.46,21.70,0,0,8,4.177,4.065,0.000,0.000,0,8,0,0,0,0
0033baadbd48d3f880e9b5a733bd4950-rope_0030.shuffled,1080,2520,2520,0,-1,-1,-1,0.012,0.013,0,0.01,0.02,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
003a77d2aa15a5f93aa2cfe79b986c9e-fclqcolor-20-15-15.shuffled-as.sat05-1270,790,49835,49835,0,-1,-1,-1,0.791,0.832,0,0.03,0.92,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0041051c73dcdd885d412a38e8b09fba-rphp4_065_shuffled,520,6959,6959,0,-1,-1,-1,0.110,0.116,0,0.01,0.13,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0041f01bcd7d0d1f9541cea6da79ad57-SGI_30_60_24_40_2-dir.shuffled-as.sat03-118,720,58758,58758,0,-1,-1,-1,1.529,1.565,0,0.03,1.66,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
004b0f451f7d96f6a572e9e76360f51a-spg_420_280,674643,3463100,3463100,0,-1,-1,-1,5.182,7.583,0,2.48,15.21,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0059d4b1cf79efbc6e6ed50caee0448e-4col220_9_1.shuffled,440,3885,3885,0,-1,-1,-1,0.002,0.005,0,0.01,0.02,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
005ccb378ced61c02105ed7ee0a62038-mm-2x2-5-0-s.1.shuffled-as.sat03-1496,60,32000,32000,0,-1,-1,-1,0.013,0.070,0,0.03,0.16,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0062dc10471119b9e13da682216b190f-ex179_11,127050,1618802,1380070,88,88,0,106180,250.556,252.159,88,0.92,255.36,30,16,64,238.853,177.215,61.076,0.000,58,0,58,0,0,0
0064aa2e16c9d4b18d32a45d3073fce9-desmul.miter.used-as.sat04-330,28902,179895,179895,0,-1,-1,-1,0.101,0.229,0,0.11,0.60,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0071b624d91ebe408b0585f8c4e34fd9-ctl_4291_567_7_unsat,17850,154654,154654,0,-1,-1,-1,13.005,13.097,0,0.09,13.40,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
008e7716c69009090ff6bd0048dc55f8-SAT_dat.k10,46169,202473,202473,0,-1,-1,-1,1.488,1.600,0,0.12,2.05,0,2304,24,0.115,0.090,0.000,0.000,0,8,0,0,0,0
00a62eb89afbf27e1addf8f5c437da9b-ortholatin-7,6076,101038,101038,0,-1,-1,-1,1.382,1.427,0,0.05,1.59,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
00a981f385cd209d41e1efa1f5f29bac-ibm-2004-03-k70,69839,229510,229510,0,-1,-1,-1,16.496,16.623,0,0.15,17.04,0,3396,148,12.948,12.808,0.000,0.000,0,31,0,0,0,0
00aefd1fc30c425075166ca051e57218-barman-pfile10-038.sas.ex.15,430288,894948,894948,0,-1,-1,-1,-1773006564.381,-1773006539.874,0,6.43,1008.43,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
00b9b467c26540853360491401da61a5-minand064,14703,42912,42912,0,-1,-1,-1,1.352,1.374,0,0.05,1.45,0,0,1,0.935,0.909,0.000,0.000,0,1,0,0,0,0
00be590675417eba2bb2585790ac392d-iso-brn008.shuffled-as.sat05-2933,1617,3875,3875,0,-1,-1,-1,0.024,0.027,0,0.01,0.04,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
00d239e486137a4f7264adb4fb57d5ae-hwb-n24-01-S1048418025.shuffled-as.sat03-1617,162,774,774,0,-1,-1,-1,0.001,0.002,0,0.03,0.01,0,0,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0
00e289099ea9bcef6a056a8c8ba8a3c0-ndist.b.21497,279453,386925,386925,0,-1,-1,-1,2.875,3.138,0,0.28,3.94,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
00ec2992d59f85705eb8e1f4f1e01b3d-sgen4-sat-280-8,280,672,672,0,-1,-1,-1,0.007,0.008,0,0.00,0.01,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
00f2eb377986e7decbc863931680a3b2-rand_net70-40-10.shuffled,5600,16661,16661,0,-1,-1,-1,0.220,0.230,0,0.01,0.26,0,0,4,0.024,0.014,0.000,0.000,0,1,0,0,0,0
00f4aca773e5675f35263dcd46b15bde-vmpc_28.shuffled-as.sat05-1957,784,108080,108080,0,-1,-1,-1,0.051,0.143,0,0.05,0.32,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
00f969737ba4338bd233cd3ed249bd55-3col20_5_6.shuffled,40,140,140,0,-1,-1,-1,0.000,0.001,0,0.00,0.01,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0101d013a916d903e8e618d7db1edbb3-phnf-size10-exclusive-equilarge_l3.used-as.sat04-895.sat05-4189.reshuffled-07,16489,2248381,2248381,0,-1,-1,-1,106.064,111.092,0,1.09,116.12,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0107f34364dfff8ab062193b2c71b4de-sp4-33-bin-nons-flat-noid,786,5062,5062,0,-1,-1,-1,0.071,0.074,0,0.01,0.09,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
010c9d7a6e9e6cac63f110915d9dd56e-3col60_5_9.shuffled,120,480,480,0,-1,-1,-1,0.000,0.002,0,0.00,0.01,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
