Filename,exit_code,real_time,solve_real_time,SAT_verified
0062dc10471119b9e13da682216b190f-ex179_11,10,247.57,247.55,1,1.08
01135f7a79d555bd0406f00fac22cbe2-SC21_Timetable_C_140_E_29_Cl_10_S_15,0,5000.06,5000.02,0,0.24
0240f5bddc39ad2f0a786c811fc434a8-SC21_Timetable_C_542_E_71_Cl_36_S_35,10,387.53,387.43,1,1.79
02f2343e32f9070f149708d77556b4aa-Kakuro-easy-117-ext.xml.hg_5,10,338.70,338.47,1,14.39
04157f716c1e9606c6a530657bf8f957-Kakuro-easy-125-ext.xml.hg_4,0,5000.23,5000.01,0,16.12
04557a22f623dcbae86173fced057c99-baseballcover14with25,20,60.92,60.91,0,0.15
04d28cb98f3362dfcd4ab74d4bb82de3-ex065_24,0,5000.02,5000.00,0,0.19
083030713683d8ab8e1d54372f241863-Kakuro-easy-089-ext.xml.hg_4,10,253.79,253.63,1,10.40
08cb0cf252b65c30c7c55218825c6ca0-hsat_vc12072,20,1.25,1.17,0,0.44
0aab775f1790819177fb1851d9316efd-pb_300_04_lb_06,20,52.51,52.48,0,0.33
0b289d226ccc2a1798af1006ae7d9c28-pb_400_09_lb_05,10,60.20,60.15,1,0.57
0ccc2718c8a88220ddc024a435c39ab9-LABS_n071_goal001,20,2336.05,2336.04,0,0.12
102ddb414ef5a0f8cf06f168df8f271a-Timetable_C_151_E_34_Cl_10_S_4,0,5000.06,5000.02,0,0.16
10917fe3e9a9bf09dde447549df769a2-pb_300_04_lb_05,20,27.55,27.52,0,0.33
1335cf5a529c51c86733b20450a41ac1-p01_lb_05,20,11.47,11.47,0,0.05
1364901fb87afe648b513e945ddeed91-b1904P3-8x8c11h0SAT,0,5000.04,5000.01,0,0.34
140aa37221467a66d5711b760a19ee0f-ktf_TF-8.tf_4_0.02_37,0,5000.02,5000.00,0,0.10
141919813972d24c105018164e96cb1e-edit_distance023_281,0,5000.08,5000.03,0,0.25
1527378fc216e0506bf8b63d0fad56be-randomG-Mix-n18-d05,0,5000.02,5000.00,0,0.00
1575dcf4547f5854850b971013683c37-edit_distance007_85,0,5000.02,5000.00,0,0.03
15ba9eb4b0035fb6ed11a03c7df21870-ktf_TF-6.tf_4_0.04_51,0,5000.06,5000.05,0,0.07
1647fbd9ca6e5fb8ab052e79734636a9-LABS_n074_goal006,10,4692.66,4692.62,1,0.15
16ca7cd1af0f7102faf95131822ace7e-TimetableCNFEncoding_3_UNKNOWN,0,5000.17,5000.00,0,1.53
180e6d8b61fe6bab26126b78591e324e-baseballcover11with22_and2positions,10,27.22,27.20,1,0.30
19b53b597955dd41aa4d12a87d127daf-hsat_vc12016,20,0.80,0.75,0,0.30
1bb9929010e0c209f1e59dedba54d9ad-edit_distance023_282,0,5000.06,5000.00,0,0.24
1c1d04b20da61c0bc2328cdca8b8aa3a-Timetable_C_241_E_45_Cl_16_S_14,0,5000.07,5000.00,0,0.44
1dce69ee6685597d6c56e5fd7a47f8e0-SC21_Timetable_C_136_E_41_Cl_9_S_15,0,5000.06,5000.00,0,0.25
1e8af331b822f6b7bc1754be9d64499f-Kakuro-easy-065-ext.xml.hg_3,20,1382.16,1382.01,0,10.93
1f49f37f051af218337c654f120cf4d0-ex039_33,10,84.94,84.92,1,0.28
21a16f532f37b506ba9b59952a40a2b6-Kakuro-easy-120-ext.xml.hg_6,10,189.67,189.40,1,16.29
24316c19acf3abc5f301bc4dc534122b-transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.010-NOTKNOWN,20,2.40,2.34,0,0.39
263457bc6aafa3b1f5999bc2ddfe3caf-ktf_TF-4.tf_2_0.02_18,20,31.21,31.21,0,0.05
273d42b3d97294b660745c7bc632474e-edit_distance025_450,0,5000.07,5000.00,0,0.30
28ea29815a9f73f90ae1c0e28614b2b4-ex177_12,0,5000.18,5000.02,0,11.91
29b7d5a498eff7a98fcd03a273eaeba3-Kakuro-easy-132-ext.xml.hg_8,10,1023.94,1023.66,1,18.47
2a15a30186afdad41a49c5c5366d01be-Timetable_C_392_E_62_Cl_26_S_28,10,30.80,30.73,1,1.09
2a49abea0cff4d213d1ef89466189207-LABS_n070_goal001,20,1982.95,1982.94,0,0.11
2b792fa1e9b4be42dac50f340f91eec2-pb_400_09_lb_04,20,150.46,150.40,0,0.54
2dd2843e84e1c73b9a3fd45d4f13a2fa-ktf_TF-3.tf_2_0.02_24,20,3859.57,3859.56,0,0.06
2fdd1060b7b84e0a467ce815f808d72f-TimetableCNFEncoding_1_UNKNOWN,0,5000.21,5000.00,0,1.60
316e22c7acf697be27514ffda0381ebc-2bitcomp_5.hg_20,0,5000.17,5000.01,0,5.26
324b2441c6f1fa9d5f3cf3a4c8447fc7-SC21_Timetable_C_512_E_66_Cl_34_S_35,0,5000.16,5000.02,0,1.65
3334919f6e241ce87c5b91ed90fc0c1c-edit_distance031_284,0,5000.07,5000.01,0,0.36
33bcf82677b7fdacf18dd48892596a1d-TimetableCNFEncoding_20_UNKNOWN,10,40.38,40.28,1,1.67
354deb2db0a0207dd6a697d29ec0dbb2-pb_300_10_lb_13,10,48.61,48.58,1,0.34
36c02f64976f4c45a9e6bfb361d08316-edit_distance031_283,0,5000.08,5000.01,0,0.35
38295b28f74d2a62e928c221428faf36-Kakuro-easy-157-ext.xml.hg_4,20,2821.61,2821.39,0,13.77
39feaada031121eaeb4140a86cd5ef9f-TimetableCNFEncoding_9_UNKNOWN,0,5000.04,5000.00,0,0.63
3a1aeb4f09c3e2c147b5abb785019137-hsat_vc11773,20,1.25,1.17,0,0.46
3b2d21c531e690823d8c57e29dce22bc-pb_400_05_lb_00,10,54.88,54.82,1,0.52
3ca581d4d75bff4eb87b99f7c857f285-ex187_10,10,104.25,104.22,1,1.10
3f72fda296bb564f0c0bd035e7276f06-pb_400_03_lb_07,20,117.65,117.59,0,0.61
41d15591fed06eb2e4e2f9ace5de25e9-ktf_TF-4.tf_4_0.04_35,20,1224.17,1224.17,0,0.05
431aa052e2101d8018df4a2abe0ce0d4-ex051_9,20,4388.01,4388.00,0,0.26
43e492bccfd57029b758897b17d7f04f-pb_300_09_lb_07,10,82.73,82.70,1,0.33
448bc3366a8793b08e67bc5b816eafe8-pb_300_05_lb_11,20,299.99,299.96,0,0.30
4513c58c16e72a34f9f8518db7baeb9e-ktf_TF-3.tf_3_0.02_24,20,125.80,125.80,0,0.04
47752d6f7fca7e1caae7aa0d0138c067-pb_300_06_lb_02,10,286.95,286.92,1,0.32
47f80d10f6f498880bc9c968c0f20ac7-LABS_n082_goal007,10,1703.68,1703.63,1,0.29
498aa1bd31540416e1d179c02316e14e-pb_200_05_lb_00,20,36.98,36.96,0,0.14
4b082506d1c282cb539fa3ee652d2e69-LABS_n091_goal009,10,93.70,93.65,1,0.56
4ed40dca9d17e37f77bbbef074561585-hsat_vc11817,20,1.25,1.17,0,0.49
4ef35e8c7b387e8c2fff1f552a04e3a2-LABS_n068_goal001,20,1347.17,1347.14,0,0.09
51574b22bae25a1f18d1e640958c1115-ex145_10,0,5000.01,5000.00,0,0.16
532498b3cd948f0db94ac28636a05816-TimetableCNFEncoding_17_UNKNOWN,10,2670.57,2670.37,1,1.60
533017e0f42d8246c7ae140313a84161-baseballcover12with25_and5positions,20,3650.51,3650.50,0,0.17
57ed70b2b94469babf71c5ee4290800e-edit_distance025_448,0,5000.10,5000.01,0,0.30
5c257009a97cdac455df115b916abf45-hsat_vc12070,20,0.98,0.91,0,0.36
5c34b6844ed6a3fc57dccfc414af2851-SC21_Timetable_C_136_E_36_Cl_9_S_15,0,5000.07,5000.01,0,0.24
5d3f7a547ff9818a05747963c1930f71-baseballcover15with25,20,35.57,35.56,0,0.15
5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7,10,205.59,205.35,1,15.31
5f5754b7a8d036ee51ced0e05ae62c6e-ex015_14,20,4243.63,4243.60,0,1.20
615c30ee68ba7f9007a4511f7e8ab939-baseballcover13with25,10,36.18,36.17,1,0.16
62269a9d08e3592f3fd7e2c8af1e3fe9-pb_300_10_lb_06,20,56.91,56.88,0,0.30
62608c18d84e69d2b71f0048f6cb80be-ex045_7,10,520.78,520.64,1,9.71
64f752b0931674f7dbd31993c333bb1a-LABS_n039_goal002,20,4397.13,4397.12,0,0.02
68dc114bb8e479d8cc81faed8b2fceb5-Kakuro-easy-156-ext.xml.hg_7,10,130.56,130.36,1,14.08
698c30dc0749b66d872a1e7378c9a6df-ex067_10,10,269.63,269.61,1,0.63
6ad1d4d8752088686f9b4034600519c1-LABS_n051_goal004,10,1609.37,1609.35,1,0.03
6b2496b2ba23a00a1c6f45f87faeba5f-Kakuro-easy-149-ext.xml.hg_4,0,5000.22,5000.01,0,15.78
6b4f076f8ed55503b6a417dfe76dd35b-Kakuro-easy-127-ext.xml.hg_6,10,361.30,361.04,1,18.17
6c12cb2fdddfb6ea8676f97d35ea913e-hsat_vc12062,20,0.88,0.83,0,0.35
6c72a8dee9ce24e02f45c02f41d5eb3a-ex177_13,0,5000.32,5000.15,0,11.59
6cf8b432f3cb27c30815f4a562986085-ex025_19,20,4268.15,4268.12,0,1.05
71b10fc5222528daf06c55b04bf7013e-LABS_n052_goal004,10,3092.77,3092.75,1,0.04
728e6c35cb5a5a5f4efeeb1364f19d42-pb_400_02_lb_15,10,802.88,802.81,1,0.59
74de05ee22b18a5d3ed12148b791bac7-LABS_n053_goal004,10,2924.70,2924.68,1,0.05
77d04e6c100842652369f337bde0840e-pb_300_10_lb_07,20,82.78,82.75,0,0.30
792b33e1963e294682d2188f36554008-baseballcover12with24_and2positions,10,78.83,78.81,1,0.28
79c0df739ce3d7895fc546a69dca4f3e-pb_300_05_lb_16,10,167.84,167.81,1,0.31
7adc1ade3384505af00ff8f7be23f5bd-ex175_20,10,568.23,568.00,1,12.19
81268da6548a14c8658a6dd9786e56f4-hsat_vc11813,20,1.62,1.52,0,0.59
8226a866770c4e3da127e54ca0dbd496-SC21_Timetable_C_466_E_62_Cl_31_S_30,10,343.49,343.41,1,1.37
829d75d6c2814ff99b1c300c43247f28-pb_200_03_lb_03,10,16.53,16.52,1,0.15
82cad197a0b7919f1f51ec51f7267e6f-ex095_8,20,3620.44,3620.28,0,9.02
8483632ccd23319f4710174391d52c4f-Timetable_C_181_E_34_Cl_12_S_10,0,5000.04,5000.00,0,0.25
856e8a73e5c92ccdb42ee5851e67d207-Timetable_C_241_E_34_Cl_16_S_12,0,5000.08,5000.01,0,0.36
85a444c93fc38370bbdd83eff2c777da-ex175_18,10,1266.34,1266.12,1,12.36
85eef885042cc63551c8938d4f6ab02e-Timetable_C_466_E_50_Cl_31_S_28,10,2715.61,2715.50,1,1.20
86aae8fcfcec93584f6c212bc5075214-pb_400_09_lb_02,20,69.51,69.47,0,0.52
87894ba21ccd7c8d45a2c55d04bf6f3e-hsat_vc12072,20,1.29,1.21,0,0.43
87bc2ca74b0f055b899ab6b838b6d71b-ex145_11,0,5000.02,5000.00,0,0.15
883e9bf9fd182b8ee187a958db1242a7-pb_300_03_lb_13,10,68.35,68.31,1,0.34
897c9f5f6396aba631f6e78e675028a8-LABS_n038_goal002,20,2455.95,2455.94,0,0.03
8aa9da1b9faca7329acaea993d163d0d-TimetableCNFEncoding_6_UNKNOWN,0,5000.07,5000.00,0,0.93
8ac3de93860b12ea5900cf393e3100bd-ex175_17,10,3688.18,3687.96,1,12.32
8e27e1a8a840eb474fe3f07108bcf4c5-SC21_Timetable_C_181_E_34_Cl_12_S_4,0,5000.05,5000.00,0,0.18
8e905dfa09f45f7f50099f70cc38714c-Timetable_C_437_E_62_Cl_29_S_28,10,131.31,131.24,1,1.20
912b89dd471295d3c72c66d0192dff72-randomG-B-Mix-n18-d05,0,5000.02,5000.01,0,0.02
916e8027cafecc698ed5404a005bc69f-SC21_Timetable_C_557_E_73_Cl_37_S_35,10,66.94,66.84,1,1.76
918f60dd08b616ae2a303650f1e4f503-LABS_n060_goal005,10,351.48,351.46,1,0.06
93679e929befb269dd4308a72579cd1a-pb_300_10_lb_08-sc2014,20,151.27,151.23,0,0.32
95831af5f01d217142333685788b76ca-pb_400_10_lb_00,10,52.09,52.03,1,0.53
98303839e01cb47212043cdec39785cf-LABS_n071_goal006,10,1677.13,1677.10,1,0.11
9834e67bb8d0379eb872b3ad155ee05b-hsat_vc11944,20,0.84,0.79,0,0.33
986b255934e4b9f9fd7a8533bd13a76f-ex157_10,10,247.36,247.32,1,1.25
99d81725dcbb49eefb7b78d03dc595c3-hsat_vc12016,20,0.82,0.77,0,0.29
9a296539e33398c9ae36663371a63b39-randomG-Mix-n17-d05,0,5000.01,5000.00,0,0.00
9b81119141db098dd4bfb24a1d244e68-Kakuro-easy-051-ext.xml.hg_4,20,1412.91,1412.82,0,4.13
9e469bffc3f862d6321d84a4ef83969c-edit_distance019_312,0,5000.04,5000.00,0,0.17
9e7fcd9893a2abee4d76bc3b57d9ffa1-baseballcover13with25_and1positions,10,34.55,34.54,1,0.15
9e867160f5dd14c2127a2e513f48b7d5-Kakuro-easy-148-ext.xml.hg_8,10,141.42,141.15,1,17.02
9f8e73a67430ddb104d87d2055df161f-TimetableCNFEncoding_8_UNKNOWN,0,5000.06,5000.00,0,0.73
9fe09fe68f45fdffa276f46c01c0f2d6-LABS_n081_goal007,10,313.63,313.59,1,0.26
a25fe456583c0982f43df1c5f2e8e773-b1904P3-8x8c11h7UNSAT,20,328.60,328.59,0,0.23
a37b83b23f52f6ebd06c5769584a4b3e-hsat_vc11803,20,1.33,1.24,0,0.51
a49e09ba2e553c2311ac9d0a09a82007-hsat_vc11813,20,1.67,1.57,0,0.58
a4aa9ccc565c5cde0cfb5dfd9f4deaf4-Kakuro-easy-127-ext.xml.hg_7,10,149.80,149.50,1,18.05
a579604efe04d2aa865386c741cce70e-TimetableCNFEncoding_2_UNKNOWN,0,5000.11,5000.00,0,0.98
a5fc113e7d4899f4e4af14b87b6fd6ae-Kakuro-easy-097-ext.xml.hg_4,20,2247.45,2247.24,0,13.03
a62fb2367a024ba494c740420db4a622-TimetableCNFEncoding_4_UNKNOWN,0,5000.11,5000.00,0,1.08
a6324d9fc587ddc727e1e749bcf2596d-b1904P3-8x8c11h7SAT,10,1735.60,1735.59,1,0.23
a7aac5c83f236fd8b3de3275e3f5499d-edit_distance041_183,0,5000.07,5000.02,0,0.52
a93b40d498d30c579ada82019317c4c3-LABS_n078_goal006,0,5000.03,5000.01,0,0.19
aa2f027a10a1ee6582ace0fc062b4b84-pb_400_03_lb_05,20,62.47,62.43,0,0.55
aacfb8797097f698d14337d3a04f3065-barman-pfile06-022.sas.ex.7,20,2.59,2.57,0,1.35
aad5bbe8920c5afc84068bb1da27ee8f-LABS_n041_goal003,10,826.38,826.37,1,0.02
ab3dfe46aee7bfeb8301de497f36a05a-Kakuro-easy-052-ext.xml.hg_4,10,282.70,282.62,1,3.95
ac6256657058fe65dc7ddaf773ab83bf-SC21_Timetable_C_527_E_71_Cl_35_S_35,10,49.02,48.93,1,1.68
ac909ca2e27006f71389b6afa605f4be-randomG-B-Mix-n19-d05,0,5000.01,5000.00,0,0.00
ac9d8b386134074c37e1b96815de2ff3-LABS_n064_goal005,10,3772.17,3772.15,1,0.06
ae172b720ce980b1ec5337bfd7d5a8ff-LABS_n072_goal006,10,2985.54,2985.51,1,0.12
afaee41956622725cf3bb98db6ff9bbb-SC21_Timetable_C_241_E_34_Cl_16_S_13,0,5000.04,5000.01,0,0.40
b01346439155f2e815fe3754eccdc76c-Timetable_C_392_E_50_Cl_26_S_28,10,68.62,68.54,1,1.06
b34924ea0812ea17683047a443b6ab99-Timetable_C_226_E_34_Cl_15_S_12,0,5000.08,5000.00,0,0.35
b3d4854cd2fe7e9f528a6fe75d727bad-Timetable_C_181_E_34_Cl_12_S_6,0,5000.03,5000.00,0,0.21
b418ff1175e0b727ac09053fdec0f7a2-hsat_vc11935,20,0.84,0.78,0,0.32
b5c3e33e90f4c95502754c7e2e92a6d2-randomG-B-Mix-n16-d05,20,1458.44,1458.43,0,0.00
b5d9a62d4b2f44b9eb3f6b3e48083ef4-baseballcover14with25_and2positions,20,69.87,69.86,0,0.30
b64f7d56f1b369fac6a3bcb1efd784da-Kakuro-easy-126-ext.xml.hg_7,10,109.43,109.17,1,17.47
b655faa69774192a80d9e2a2bc602ce4-Kakuro-easy-115-ext.xml.hg_5,10,143.69,143.38,1,19.46
b72179b73f013a009f4bb68c4bf31c8b-Kakuro-easy-104-ext.xml.hg_6,10,106.66,106.47,1,11.85
ba71e5c87a5d9db532d1c60299dea50c-Timetable_C_392_E_50_Cl_26_S_26,10,145.34,145.28,1,0.97
bb4ed0cf3cf535f7c11a99ee6cbc4f91-LABS_n044_goal003,10,1179.69,1179.68,1,0.02
bc5b6fdc1a75e144e42d68c0fba444ad-SC21_Timetable_C_181_E_34_Cl_12_S_8,0,5000.03,5000.00,0,0.23
bd39f27a6ff74a059b318d302c9ba2ee-Timetable_C_497_E_62_Cl_33_S_30,10,270.66,270.58,1,1.40
c043e8daf094477007c600c00eff97c5-pb_200_10_lb_15,20,16.76,16.75,0,0.17
c08b00ee4667b900f38c60ea521be6e7-ktf_TF-3.tf_4_0.04_48,0,5000.18,5000.17,0,0.05
c0c075a8f79bc59293c30651afc71b33-edit_distance025_449,0,5000.07,5000.02,0,0.30
c1e6f4965901d10fef7ff5cccec80024-LABS_n070_goal006,10,1578.52,1578.49,1,0.11
c23b32bc4499e02aa6907664e1f0502f-TimetableCNFEncoding_10_UNKNOWN,0,5000.05,5000.03,0,0.39
c790cce39a626db94903b2789c570d7e-Kakuro-easy-132-ext.xml.hg_9,10,158.01,157.75,1,18.12
c79f5efa4fdcf594b4169106d04b3e86-LABS_n069_goal001,20,1541.50,1541.49,0,0.09
c7a473fd916048e8d98f012294074328-edit_distance023_283,0,5000.05,5000.01,0,0.22
c7eb6ef692056b7851b6f46ac16dc506-LABS_n079_goal006,0,5000.03,5000.00,0,0.22
ca6f385b29f7b9fb474f9ed7f9f921af-Timetable_C_241_E_45_Cl_16_S_16,10,334.85,334.81,1,0.45
cc54b7fa1e2da7d9e8919b86a3cf66b5-pb_300_10_lb_12,10,59.74,59.70,1,0.32
cd60db7535dddb69068778af69e6a267-edit_distance035_393,0,5000.13,5000.03,0,0.56
cd670fb043fba9266428987dcbec71fa-pb_300_01_lb_00,10,71.11,71.08,1,0.30
cdb158cd7ba7c1012492596193a1de07-LABS_n091_goal008,10,3190.21,3190.16,1,0.55
cfb196665cc0598c7fb6d2afe6eb4a57-pb_200_03_lb_02,20,80.88,80.86,0,0.14
cffe58485cb866edc8ff999f150b6464-TimetableCNFEncoding_16_UNKNOWN,0,5000.14,5000.00,0,1.27
d07981cdb73a21b111aecdc062297659-LABS_n067_goal001,20,1245.24,1245.22,0,0.10
d14a5970e2787c4a0583d56ceaf1707d-pb_400_09_lb_03,20,110.88,110.82,0,0.52
d359f1f55a5a9d54a4e4a516a06b621c-LABS_n073_goal006,10,3130.97,3130.95,1,0.13
d4a914e3e257179e39ec493a7d7b1140-ktf_TF-4.tf_4_0.06_52,10,2815.25,2815.23,1,0.04
d51594ca1acfffde2632017335900b50-LABS_n066_goal005-sc2013,0,5000.10,5000.08,0,0.19
d60f56735dc8e89d7d91a01f4340df0c-baseballcover13with25_and3positions,20,573.47,573.46,0,0.16
d7228db35f25bc652e64966f026f27b7-pb_300_02_lb_07,10,30.15,30.11,1,0.34
d765837689ffb1173943095f2fc42b96-Kakuro-easy-045-ext.xml.hg_4,0,5000.03,5000.00,0,2.12
d8b5cf962203cd5cdba5fed75d2cd02e-LABS_n072_goal001,20,2285.88,2285.86,0,0.12
d96b51b728856b588991af6bb20bdde1-baseballcover12with23_and2positions,10,119.25,119.24,1,0.29
d9edec809b84b6a3ce31e623026888bc-baseballcover12with22_and2positions,20,138.73,138.71,0,0.32
d9fa142f9361d2ca368a51d16929572e-b1904P2-8x8c9h7UNSAT,0,5000.02,5000.00,0,0.24
db8f0d757b4f974602b399564ac2ca1e-b1904P2-8x8c9h5SAT,0,5000.02,5000.01,0,0.27
dbbd977e78d2e6a9d2d83c5077597591-Kakuro-easy-118-ext.xml.hg_4,10,343.31,343.13,1,12.84
dc3854d1f6db34fa97596ac30204627c-ktf_TF-1.tf_3_0.02_34,0,5000.01,5000.00,0,0.09
df050f2e70ef41fc19d87f51ad431601-Kakuro-easy-154-ext.xml.hg_4,20,3472.07,3471.78,0,13.60
df4aa7724f377245d82486ada37910de-SC21_Timetable_C_140_E_32_Cl_30_S_10,0,5000.04,5000.01,0,0.24
e6ebcf156dfca54a7881190a14a330fa-Kakuro-easy-150-ext.xml.hg_9,10,290.28,290.00,1,15.88
e7b868b93a16feaa7c21bf075cda87f7-Kakuro-easy-041-ext.xml.hg_4,20,1062.88,1062.84,0,2.11
e81f7ec1e367548bc88c443fa36d8710-pb_300_02_lb_06,10,67.15,67.12,1,0.33
e8a188835a2623fb53f68b374a18edf0-baseballcover11with25_and5positions,10,52.41,52.39,1,0.16
ea674041a2b5051939ef34cdad996e8b-pb_200_03_lb_01,20,71.63,71.61,0,0.16
eb34dcb040e9956397c306400da096f1-hsat_vc12070,20,0.97,0.91,0,0.36
eb6f0d50ca6a4a352c2f79b4c422bb4f-pb_400_04_lb_19,10,157.91,157.85,1,0.64
eda4aa84aeeb306468396fa82a6bba5a-pb_300_05_lb_17,10,120.98,120.95,1,0.32
eebdda8f75d54e914a17570802df71d6-LABS_n045_goal003,0,5000.01,5000.00,0,0.03
effa19cc18a6c3faca19761028bb0a0e-SC21_Timetable_C_121_E_34_Cl_8_S_4,0,5000.05,5000.00,0,0.13
f157df1208c06caaa5cf11371704b87b-edit_distance041_182,20,4680.34,4680.30,0,0.55
f33b2b99b991e02e7c9729fc3f336aac-Timetable_C_331_E_45_Cl_22_S_26,0,5000.07,5000.00,0,0.85
f746dae2050dd4aa48bcd53e8bd897b4-ex065_25,10,227.70,227.69,1,0.17
f8938435799428986997b98df45661c6-LABS_n088_goal008,10,151.33,151.28,1,0.46
fab5698f06861b62c881c77630fbcd4d-Kakuro-easy-142-ext.xml.hg_8,10,504.04,503.86,1,13.67
