Filename,exit_code,real_time,solve_real_time,SAT_verified,encoding_real_time
0062dc10471119b9e13da682216b190f-ex179_11,10,221.88,221.85,1,1.07
01135f7a79d555bd0406f00fac22cbe2-SC21_Timetable_C_140_E_29_Cl_10_S_15,0,5000.06,5000.00,0,0.25
0167ead7da1e981805564ca981f64bea-aim-200-6_0-yes1-4.cnf.mis-135.debugged,0,5000.03,5000.01,0,0.02
0240f5bddc39ad2f0a786c811fc434a8-SC21_Timetable_C_542_E_71_Cl_36_S_35,10,387.86,387.76,1,1.77
02f2343e32f9070f149708d77556b4aa-Kakuro-easy-117-ext.xml.hg_5,10,341.06,340.84,1,14.37
04157f716c1e9606c6a530657bf8f957-Kakuro-easy-125-ext.xml.hg_4,0,5000.23,5000.00,0,15.76
04557a22f623dcbae86173fced057c99-baseballcover14with25,20,66.17,66.16,0,0.03
04d28cb98f3362dfcd4ab74d4bb82de3-ex065_24,0,5000.04,5000.01,0,0.18
083030713683d8ab8e1d54372f241863-Kakuro-easy-089-ext.xml.hg_4,10,229.55,229.40,1,10.43
0aab775f1790819177fb1851d9316efd-pb_300_04_lb_06,20,51.45,51.42,0,0.33
0b289d226ccc2a1798af1006ae7d9c28-pb_400_09_lb_05,10,61.39,61.34,1,0.54
0ccc2718c8a88220ddc024a435c39ab9-LABS_n071_goal001,20,2340.01,2339.99,0,0.18
0fa8623240b5c14c1308f863a6dc88ab-urqh1c5x5.shuffled-as.sat03-1468.cnf.mis-103.debugged,0,5000.04,5000.02,0,0.05
102ddb414ef5a0f8cf06f168df8f271a-Timetable_C_151_E_34_Cl_10_S_4,0,5000.06,5000.02,0,0.16
10917fe3e9a9bf09dde447549df769a2-pb_300_04_lb_05,20,26.66,26.63,0,0.33
1335cf5a529c51c86733b20450a41ac1-p01_lb_05,20,11.36,11.35,0,0.05
1364901fb87afe648b513e945ddeed91-b1904P3-8x8c11h0SAT,0,5000.03,5000.00,0,0.39
141919813972d24c105018164e96cb1e-edit_distance023_281,10,93.47,93.41,1,0.23
1527378fc216e0506bf8b63d0fad56be-randomG-Mix-n18-d05,0,5000.02,5000.00,0,0.01
1575dcf4547f5854850b971013683c37-edit_distance007_85,20,78.08,78.07,0,0.04
1647fbd9ca6e5fb8ab052e79734636a9-LABS_n074_goal006,0,5000.08,5000.05,0,0.21
16ca7cd1af0f7102faf95131822ace7e-TimetableCNFEncoding_3_UNKNOWN,0,5000.11,5000.00,0,1.58
180e6d8b61fe6bab26126b78591e324e-baseballcover11with22_and2positions,10,65.78,65.77,1,0.19
19f63977cd3dca75b4efac7ed6b840c3-barman-pfile08-032.sas.ex.7,20,4.83,4.78,0,2.82
1bb9929010e0c209f1e59dedba54d9ad-edit_distance023_282,10,1226.43,1226.39,1,0.26
1bda6f076bbed75ed4250946919446a6-mp1-squ_any_s09x07_c27_sinx_UNS,20,270.17,270.16,0,0.07
1c1d04b20da61c0bc2328cdca8b8aa3a-Timetable_C_241_E_45_Cl_16_S_14,0,5000.10,5000.00,0,0.43
1dce69ee6685597d6c56e5fd7a47f8e0-SC21_Timetable_C_136_E_41_Cl_9_S_15,0,5000.05,5000.02,0,0.26
1e8af331b822f6b7bc1754be9d64499f-Kakuro-easy-065-ext.xml.hg_3,20,1361.42,1361.27,0,11.13
1f49f37f051af218337c654f120cf4d0-ex039_33,10,92.36,92.34,1,0.25
21a16f532f37b506ba9b59952a40a2b6-Kakuro-easy-120-ext.xml.hg_6,10,180.00,179.68,1,16.32
22fdbcb094a1c1b513b8fd90e9b50f65-mp1-squ_any_s09x07_c27_sinz_UNS,20,281.01,281.01,0,0.00
262a226a47330987f038128579967405-ais8.cnf.mis-97.debugged,20,7.74,7.73,0,0.03
273d42b3d97294b660745c7bc632474e-edit_distance025_450,0,5000.20,5000.16,0,0.31
28ea29815a9f73f90ae1c0e28614b2b4-ex177_12,0,5000.17,5000.00,0,11.69
29b7d5a498eff7a98fcd03a273eaeba3-Kakuro-easy-132-ext.xml.hg_8,10,1005.77,1005.48,1,18.15
2a15a30186afdad41a49c5c5366d01be-Timetable_C_392_E_62_Cl_26_S_28,10,28.64,28.58,1,1.10
2a49abea0cff4d213d1ef89466189207-LABS_n070_goal001,20,1718.44,1718.42,0,0.17
2b792fa1e9b4be42dac50f340f91eec2-pb_400_09_lb_04,20,144.14,144.09,0,0.54
2fdd1060b7b84e0a467ce815f808d72f-TimetableCNFEncoding_1_UNKNOWN,0,5000.11,5000.00,0,1.57
316e22c7acf697be27514ffda0381ebc-2bitcomp_5.hg_20,0,5000.18,5000.00,0,5.22
324b2441c6f1fa9d5f3cf3a4c8447fc7-SC21_Timetable_C_512_E_66_Cl_34_S_35,0,5000.12,5000.00,0,1.69
3334919f6e241ce87c5b91ed90fc0c1c-edit_distance031_284,0,5000.07,5000.00,0,0.34
33bcf82677b7fdacf18dd48892596a1d-TimetableCNFEncoding_20_UNKNOWN,10,41.02,40.92,1,1.67
354deb2db0a0207dd6a697d29ec0dbb2-pb_300_10_lb_13,10,46.01,45.98,1,0.36
36c02f64976f4c45a9e6bfb361d08316-edit_distance031_283,0,5000.08,5000.01,0,0.38
38295b28f74d2a62e928c221428faf36-Kakuro-easy-157-ext.xml.hg_4,20,2738.27,2738.07,0,13.78
3859d592ef722f4f6e6a204a8f7fb30e-20-100-frag12-32_sat,0,5000.04,5000.01,0,0.29
39feaada031121eaeb4140a86cd5ef9f-TimetableCNFEncoding_9_UNKNOWN,0,5000.07,5000.03,0,0.61
3b2d21c531e690823d8c57e29dce22bc-pb_400_05_lb_00,10,53.48,53.41,1,0.51
3bc46f604aee131a858e6518bac5ae9d-C171_FR.cnf.mis-128.debugged,20,24.89,24.89,0,0.01
3ca581d4d75bff4eb87b99f7c857f285-ex187_10,10,103.63,103.60,1,1.12
3f72fda296bb564f0c0bd035e7276f06-pb_400_03_lb_07,20,115.36,115.31,0,0.56
40ac4a7d722252e791f52d6548e444bf-hole10.cnf.mis-98.debugged,20,2.14,2.13,0,0.00
430ba56a847b87445b66b9df28f14d05-20-100-lambda100-14_sat,10,59.34,59.33,1,0.10
431aa052e2101d8018df4a2abe0ce0d4-ex051_9,20,4393.81,4393.80,0,0.27
43e492bccfd57029b758897b17d7f04f-pb_300_09_lb_07,10,84.31,84.28,1,0.33
448bc3366a8793b08e67bc5b816eafe8-pb_300_05_lb_11,20,284.38,284.35,0,0.30
44f9463b7fb3a23027aa4520f3bafe61-mp1-squ_ali_s10x10_c39_sinx_SAT,10,59.75,59.75,1,0.00
45fc926d5647441fba9ee5553bf80bc8-sgen1-sat-180-100.cnf.mis-143.debugged,0,5000.01,5000.00,0,0.01
47752d6f7fca7e1caae7aa0d0138c067-pb_300_06_lb_02,10,277.04,277.01,1,0.32
47f80d10f6f498880bc9c968c0f20ac7-LABS_n082_goal007,0,5000.07,5000.02,0,0.35
