Filename,exit_code,real_time,solve_real_time,SAT_verified
0062dc10471119b9e13da682216b190f-ex179_11,10,45.08,45.05,1,10.05
01135f7a79d555bd0406f00fac22cbe2-SC21_Timetable_C_140_E_29_Cl_10_S_15,0,5000.05,5000.00,0,13.49
0240f5bddc39ad2f0a786c811fc434a8-SC21_Timetable_C_542_E_71_Cl_36_S_35,10,178.72,178.62,1,323.57
02f2343e32f9070f149708d77556b4aa-Kakuro-easy-117-ext.xml.hg_5,10,175.33,175.08,1,161.89
04157f716c1e9606c6a530657bf8f957-Kakuro-easy-125-ext.xml.hg_4,0,5000.10,5000.00,0,182.64
04557a22f623dcbae86173fced057c99-baseballcover14with25,20,110.21,110.20,0,7.40
04d28cb98f3362dfcd4ab74d4bb82de3-ex065_24,0,5000.02,5000.01,0,1.57
083030713683d8ab8e1d54372f241863-Kakuro-easy-089-ext.xml.hg_4,10,59.73,59.57,1,114.08
08cb0cf252b65c30c7c55218825c6ca0-hsat_vc12072,20,1.07,1.00,0,8.55
0aab775f1790819177fb1851d9316efd-pb_300_04_lb_06,20,39.35,39.32,0,13.23
0b289d226ccc2a1798af1006ae7d9c28-pb_400_09_lb_05,10,65.25,65.19,1,26.21
0ccc2718c8a88220ddc024a435c39ab9-LABS_n071_goal001,0,5000.02,5000.01,0,3.86
102ddb414ef5a0f8cf06f168df8f271a-Timetable_C_151_E_34_Cl_10_S_4,0,5000.04,5000.00,0,7.26
10917fe3e9a9bf09dde447549df769a2-pb_300_04_lb_05,20,25.87,25.84,0,13.03
1335cf5a529c51c86733b20450a41ac1-p01_lb_05,20,6.58,6.57,0,1.01
1364901fb87afe648b513e945ddeed91-b1904P3-8x8c11h0SAT,0,5000.04,5000.03,0,7.70
140aa37221467a66d5711b760a19ee0f-ktf_TF-8.tf_4_0.02_37,0,5000.02,5000.00,0,2.98
141919813972d24c105018164e96cb1e-edit_distance023_281,10,498.12,498.11,0,0.76
1527378fc216e0506bf8b63d0fad56be-randomG-Mix-n18-d05,0,5000.02,5000.01,0,0.07
1575dcf4547f5854850b971013683c37-edit_distance007_85,20,217.93,217.93,0,0.14
15ba9eb4b0035fb6ed11a03c7df21870-ktf_TF-6.tf_4_0.04_51,0,5000.02,5000.00,0,1.39
1647fbd9ca6e5fb8ab052e79734636a9-LABS_n074_goal006,0,5000.02,5000.00,0,5.99
16ca7cd1af0f7102faf95131822ace7e-TimetableCNFEncoding_3_UNKNOWN,0,5000.14,5000.00,0,267.47
180e6d8b61fe6bab26126b78591e324e-baseballcover11with22_and2positions,10,17.93,17.92,1,10.90
19b53b597955dd41aa4d12a87d127daf-hsat_vc12016,20,0.67,0.63,0,4.47
1bb9929010e0c209f1e59dedba54d9ad-edit_distance023_282,10,229.16,229.15,0,0.76
