Filename,exit_code,real_time,solve_real_time,SAT_verified
00063d88244921d6ec46aeab6866a8e2-6s16,20,0.15,0.13,0,0.15
000a41cdca43be89ed62ea3abf2d0b64-snw_13_9_pre,10,47.61,47.59,0,47.61
002a0330958a14deb23dcc84b5489e8a-traffic_f_unknown,20,136.06,136.04,0,136.06
0033baadbd48d3f880e9b5a733bd4950-rope_0030.shuffled,20,0.12,0.11,0,0.12
003a77d2aa15a5f93aa2cfe79b986c9e-fclqcolor-20-15-15.shuffled-as.sat05-1270,10,0.12,0.12,0,0.12
0041051c73dcdd885d412a38e8b09fba-rphp4_065_shuffled,20,176.74,176.74,0,176.74
0041f01bcd7d0d1f9541cea6da79ad57-SGI_30_60_24_40_2-dir.shuffled-as.sat03-118,20,243.74,243.74,0,243.74
004b0f451f7d96f6a572e9e76360f51a-spg_420_280,20,65.14,64.96,0,65.14
0059d4b1cf79efbc6e6ed50caee0448e-4col220_9_1.shuffled,10,68.04,68.04,0,68.04
005ccb378ced61c02105ed7ee0a62038-mm-2x2-5-0-s.1.shuffled-as.sat03-1496,20,1.57,1.57,0,1.57
0062dc10471119b9e13da682216b190f-ex179_11,10,646.12,646.08,0,646.12
0064aa2e16c9d4b18d32a45d3073fce9-desmul.miter.used-as.sat04-330,20,10.41,10.41,0,10.41
0071b624d91ebe408b0585f8c4e34fd9-ctl_4291_567_7_unsat,20,510.86,510.86,0,510.86
008e7716c69009090ff6bd0048dc55f8-SAT_dat.k10,20,25.87,25.86,0,25.87
00a62eb89afbf27e1addf8f5c437da9b-ortholatin-7,10,14.09,14.09,0,14.09
00a981f385cd209d41e1efa1f5f29bac-ibm-2004-03-k70,10,2.82,2.81,0,2.82
00aefd1fc30c425075166ca051e57218-barman-pfile10-038.sas.ex.15,20,48.69,48.62,0,48.69
00b9b467c26540853360491401da61a5-minand064,20,1.34,1.33,0,1.34
00be590675417eba2bb2585790ac392d-iso-brn008.shuffled-as.sat05-2933,10,0.02,0.02,0,0.02
00d239e486137a4f7264adb4fb57d5ae-hwb-n24-01-S1048418025.shuffled-as.sat03-1617,20,108.66,108.65,0,108.66
00e289099ea9bcef6a056a8c8ba8a3c0-ndist.b.21497,10,0.33,0.24,0,0.33
00ec2992d59f85705eb8e1f4f1e01b3d-sgen4-sat-280-8,0,5000.03,5000.02,0,5000.03
00f2eb377986e7decbc863931680a3b2-rand_net70-40-10.shuffled,20,0.05,0.04,0,0.05
00f4aca773e5675f35263dcd46b15bde-vmpc_28.shuffled-as.sat05-1957,10,259.73,259.73,0,259.73
00f969737ba4338bd233cd3ed249bd55-3col20_5_6.shuffled,20,0.01,0.01,0,0.01
0101d013a916d903e8e618d7db1edbb3-phnf-size10-exclusive-equilarge_l3.used-as.sat04-895.sat05-4189.reshuffled-07,0,5000.04,5000.02,0,5000.04
0107f34364dfff8ab062193b2c71b4de-sp4-33-bin-nons-flat-noid,20,95.58,95.58,0,95.58
010c9d7a6e9e6cac63f110915d9dd56e-3col60_5_9.shuffled,20,0.01,0.01,0,0.01
01135f7a79d555bd0406f00fac22cbe2-SC21_Timetable_C_140_E_29_Cl_10_S_15,0,5000.06,5000.03,0,5000.06
01209700b6b45ca5fda7fbcb17765db1-slp-synthesis-aes-top27,10,36.52,36.51,0,36.52
01225987412b6f8423cc68be93385f6e-eqspwtrc16bparrc16,0,5000.03,5000.02,0,5000.03
01243b47967a3d012ea22e993355c833-f8bidw,20,78.64,78.61,0,78.64
013a51ccada51812061ed2d6504e23a5-gensys-icl003.shuffled-as.sat05-3824,20,30.37,30.36,0,30.37
0141b82b3d2a411d8c2168119e2d7452-rope_0012.shuffled,20,0.06,0.05,0,0.06
0151bedac526ee195bc52e4134cd80e7-ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418,10,744.82,744.81,0,744.82
0152d286cde406747d179c36a95c2fdc-shift1add.10000,20,114.29,114.28,0,114.29
01657386753a1369dd286a3fee9062e4-SGI_30_70_28_60_1-log.shuffled-as.sat03-176,0,5000.01,5000.00,0,5000.01
0167ead7da1e981805564ca981f64bea-aim-200-6_0-yes1-4.cnf.mis-135.debugged,0,5000.01,5000.00,0,5000.01
017bba0f995e6d9921253e5a59521435-9symml_gr_2pin_w6.shuffled,10,0.23,0.23,0,0.23
01843a0195183ca14246a88bf7bad482-smulo016,20,2.30,2.30,0,2.30
0191a0bf3412ed407ba669f8d69081ee-mrpp_6x6#18_20,10,34.63,34.62,0,34.63
01966a0fc52b2200a13f5f835275a919-SGI_30_70_27_50_3-dir.shuffled-as.sat03-169,20,2346.48,2346.48,0,2346.48
01979ca4966cc363ec3caeebd8d3fc31-connm-ue-csp-sat-n600-d0.04-s1979668539.used-as.sat04-981,20,39.91,39.91,0,39.91
019dc69c96737c3d62696c9acf3edf1b-T107.2.0,20,367.17,366.92,0,367.17
01a74343f618546e9ad2a60849140317-crafted_n12_d6_c3_num26,20,81.97,81.92,0,81.97
01af042093bf36119811b6e658e7a231-ecgrid6x155_shuffled,0,5000.02,5000.01,0,5000.02
01bc4d75a43a8293132d0be627341207-E04F19,10,49.38,49.37,0,49.38
01bd0865ab694bc71d80b7d285d5777d-shuffling-2-s1480152728-of-bench-sat04-434.used-as.sat04-711,20,50.97,50.94,0,50.97
01d142c43f3ce9a8c5ef7a1ecdbb6cba-urquhart3_25bis.shuffled,20,67.93,67.92,0,67.93
01d494c2afa4960a236bf8412e2bd08a-manol-pipe-c10id_s,20,5.00,4.98,0,5.00
01dd5feb463fa80f73809718f6ff735b-10pipe_q0_k,20,526.48,526.45,0,526.48
0205e0724a8a912dde9ad7dfba2aee0b-003-23-80,10,123.70,123.70,0,123.70
02066c116dbacc40ec5cca2067db26c0-mrpp_4x4#12_12,20,9.80,9.80,0,9.80
