success,real_time,size,bound,encoding,verification,conflicts
true,5.997,1000,250,kmtotalizer,0,0
true,49.995,1000,250,seqcounter,0,0
true,5.872,1000,250,sortnetwrk,0,0
true,2.518,1000,250,totalizer,0,0
true,4.197,1000,500,kmtotalizer,0,0
true,75.034,1000,500,seqcounter,0,0
true,4.778,1000,500,sortnetwrk,0,0
true,3.225,1000,500,totalizer,0,0
true,0.059,100,25,kmtotalizer,0,0
true,0.089,100,25,kmtotalizer,1,4293
true,8.795,100,25,kmtotalizer,2,0
true,0.084,100,25,seqcounter,0,0
true,0.673,100,25,seqcounter,1,22749
true,1.805,100,25,seqcounter,2,0
true,0.136,100,25,sortnetwrk,0,0
true,4.119,100,25,sortnetwrk,1,82020
false,0.000,100,25,sortnetwrk,2,0
true,0.052,100,25,totalizer,0,0
true,0.061,100,25,totalizer,1,2757
false,0.000,100,25,totalizer,2,0
true,0.120,100,50,kmtotalizer,0,0
true,0.092,100,50,kmtotalizer,1,4477
true,5.985,100,50,kmtotalizer,2,0
true,0.111,100,50,seqcounter,0,0
true,0.913,100,50,seqcounter,1,24924
true,3.628,100,50,seqcounter,2,0
true,0.120,100,50,sortnetwrk,0,0
true,5.155,100,50,sortnetwrk,1,111134
false,0.000,100,50,sortnetwrk,2,0
true,0.055,100,50,totalizer,0,0
true,0.089,100,50,totalizer,1,3674
false,0.000,100,50,totalizer,2,0
true,7.544,1050,262,kmtotalizer,0,0
true,54.882,1050,262,seqcounter,0,0
true,16.309,1050,262,sortnetwrk,0,0
true,3.176,1050,262,totalizer,0,0
true,4.574,1050,525,kmtotalizer,0,0
true,87.443,1050,525,seqcounter,0,0
true,15.660,1050,525,sortnetwrk,0,0
true,3.636,1050,525,totalizer,0,0
true,7.771,1100,275,kmtotalizer,0,0
true,63.072,1100,275,seqcounter,0,0
true,16.802,1100,275,sortnetwrk,0,0
true,3.640,1100,275,totalizer,0,0
true,5.253,1100,550,kmtotalizer,0,0
true,94.688,1100,550,seqcounter,0,0
true,13.514,1100,550,sortnetwrk,0,0
true,4.541,1100,550,totalizer,0,0
true,7.574,1150,287,kmtotalizer,0,0
true,68.729,1150,287,seqcounter,0,0
true,21.110,1150,287,sortnetwrk,0,0
true,4.554,1150,287,totalizer,0,0
true,6.458,1150,575,kmtotalizer,0,0
true,104.406,1150,575,seqcounter,0,0
true,21.172,1150,575,sortnetwrk,0,0
true,4.605,1150,575,totalizer,0,0
true,9.261,1200,300,kmtotalizer,0,0
true,73.388,1200,300,seqcounter,0,0
true,19.516,1200,300,sortnetwrk,0,0
true,4.824,1200,300,totalizer,0,0
true,6.528,1200,600,kmtotalizer,0,0
true,113.436,1200,600,seqcounter,0,0
true,16.730,1200,600,sortnetwrk,0,0
true,5.106,1200,600,totalizer,0,0
true,6.091,1250,312,kmtotalizer,0,0
true,82.235,1250,312,seqcounter,0,0
true,20.360,1250,312,sortnetwrk,0,0
true,5.667,1250,312,totalizer,0,0
true,6.720,1250,625,kmtotalizer,0,0
true,129.266,1250,625,seqcounter,0,0
true,19.566,1250,625,sortnetwrk,0,0
true,5.968,1250,625,totalizer,0,0
true,97.704,125,31,kmtotalizer,2,0
true,4.271,125,31,seqcounter,2,0
false,0.000,125,31,sortnetwrk,2,0
false,0.000,125,31,totalizer,2,0
true,144.634,125,62,kmtotalizer,2,0
true,8.840,125,62,seqcounter,2,0
false,0.000,125,62,sortnetwrk,2,0
false,0.000,125,62,totalizer,2,0
true,5.838,1300,325,kmtotalizer,0,0
true,87.932,1300,325,seqcounter,0,0
true,23.378,1300,325,sortnetwrk,0,0
true,6.017,1300,325,totalizer,0,0
true,7.364,1300,650,kmtotalizer,0,0
true,140.710,1300,650,seqcounter,0,0
true,18.871,1300,650,sortnetwrk,0,0
true,6.869,1300,650,totalizer,0,0
true,3.412,1350,337,kmtotalizer,0,0
true,93.168,1350,337,seqcounter,0,0
true,22.241,1350,337,sortnetwrk,0,0
true,6.827,1350,337,totalizer,0,0
true,7.991,1350,675,kmtotalizer,0,0
true,152.643,1350,675,seqcounter,0,0
true,22.782,1350,675,sortnetwrk,0,0
true,7.894,1350,675,totalizer,0,0
true,3.433,1400,350,kmtotalizer,0,0
true,105.677,1400,350,seqcounter,0,0
true,22.559,1400,350,sortnetwrk,0,0
true,7.336,1400,350,totalizer,0,0
true,8.112,1400,700,kmtotalizer,0,0
true,165.627,1400,700,seqcounter,0,0
true,20.385,1400,700,sortnetwrk,0,0
true,8.036,1400,700,totalizer,0,0
true,2.924,1450,362,kmtotalizer,0,0
true,109.256,1450,362,seqcounter,0,0
true,24.458,1450,362,sortnetwrk,0,0
true,7.773,1450,362,totalizer,0,0
true,7.966,1450,725,kmtotalizer,0,0
true,182.607,1450,725,seqcounter,0,0
true,22.299,1450,725,sortnetwrk,0,0
true,8.900,1450,725,totalizer,0,0
true,3.009,1500,375,kmtotalizer,0,0
true,124.277,1500,375,seqcounter,0,0
true,25.252,1500,375,sortnetwrk,0,0
true,8.942,1500,375,totalizer,0,0
true,8.261,1500,750,kmtotalizer,0,0
true,201.151,1500,750,seqcounter,0,0
true,23.503,1500,750,sortnetwrk,0,0
true,9.603,1500,750,totalizer,0,0
true,0.137,150,37,kmtotalizer,0,0
true,0.239,150,37,kmtotalizer,1,7613
false,0.000,150,37,kmtotalizer,2,0
true,0.194,150,37,seqcounter,0,0
true,6.065,150,37,seqcounter,1,71525
true,7.992,150,37,seqcounter,2,0
true,0.322,150,37,sortnetwrk,0,0
true,31.785,150,37,sortnetwrk,1,367021
false,0.000,150,37,sortnetwrk,2,0
true,0.088,150,37,totalizer,0,0
true,0.224,150,37,totalizer,1,6159
false,0.000,150,37,totalizer,2,0
true,0.275,150,75,kmtotalizer,0,0
true,0.663,150,75,kmtotalizer,1,16219
true,418.383,150,75,kmtotalizer,2,0
true,0.252,150,75,seqcounter,0,0
true,6.685,150,75,seqcounter,1,77364
true,16.852,150,75,seqcounter,2,0
true,0.318,150,75,sortnetwrk,0,0
true,40.165,150,75,sortnetwrk,1,455010
false,0.000,150,75,sortnetwrk,2,0
true,0.097,150,75,totalizer,0,0
true,0.272,150,75,totalizer,1,6483
false,0.000,150,75,totalizer,2,0
true,3.034,1550,387,kmtotalizer,0,0
true,133.562,1550,387,seqcounter,0,0
true,26.020,1550,387,sortnetwrk,0,0
true,9.534,1550,387,totalizer,0,0
true,8.521,1550,775,kmtotalizer,0,0
true,217.446,1550,775,seqcounter,0,0
true,27.629,1550,775,sortnetwrk,0,0
true,10.317,1550,775,totalizer,0,0
true,3.011,1600,400,kmtotalizer,0,0
true,138.503,1600,400,seqcounter,0,0
true,27.428,1600,400,sortnetwrk,0,0
true,9.841,1600,400,totalizer,0,0
true,9.164,1600,800,kmtotalizer,0,0
true,225.376,1600,800,seqcounter,0,0
true,25.822,1600,800,sortnetwrk,0,0
true,11.525,1600,800,totalizer,0,0
true,3.029,1650,412,kmtotalizer,0,0
true,151.895,1650,412,seqcounter,0,0
true,27.264,1650,412,sortnetwrk,0,0
true,10.688,1650,412,totalizer,0,0
true,9.272,1650,825,kmtotalizer,0,0
true,253.093,1650,825,seqcounter,0,0
true,27.147,1650,825,sortnetwrk,0,0
true,13.111,1650,825,totalizer,0,0
true,3.581,1700,425,kmtotalizer,0,0
true,164.276,1700,425,seqcounter,0,0
true,29.343,1700,425,sortnetwrk,0,0
true,11.244,1700,425,totalizer,0,0
true,10.259,1700,850,kmtotalizer,0,0
true,271.833,1700,850,seqcounter,0,0
true,26.070,1700,850,sortnetwrk,0,0
true,12.410,1700,850,totalizer,0,0
true,3.758,1750,437,kmtotalizer,0,0
true,177.149,1750,437,seqcounter,0,0
true,29.662,1750,437,sortnetwrk,0,0
true,12.159,1750,437,totalizer,0,0
true,10.121,1750,875,kmtotalizer,0,0
true,293.999,1750,875,seqcounter,0,0
true,30.127,1750,875,sortnetwrk,0,0
true,13.913,1750,875,totalizer,0,0
false,0.000,175,43,kmtotalizer,2,0
true,14.854,175,43,seqcounter,2,0
false,0.000,175,43,sortnetwrk,2,0
false,0.000,175,43,totalizer,2,0
false,0.000,175,87,kmtotalizer,2,0
true,31.710,175,87,seqcounter,2,0
false,0.000,175,87,sortnetwrk,2,0
false,0.000,175,87,totalizer,2,0
true,4.519,1800,450,kmtotalizer,0,0
true,186.719,1800,450,seqcounter,0,0
true,29.788,1800,450,sortnetwrk,0,0
true,12.960,1800,450,totalizer,0,0
true,12.290,1800,900,kmtotalizer,0,0
true,300.392,1800,900,seqcounter,0,0
true,30.149,1800,900,sortnetwrk,0,0
true,15.318,1800,900,totalizer,0,0
true,4.305,1850,462,kmtotalizer,0,0
true,191.741,1850,462,seqcounter,0,0
true,30.108,1850,462,sortnetwrk,0,0
true,13.298,1850,462,totalizer,0,0
true,11.042,1850,925,kmtotalizer,0,0
true,331.063,1850,925,seqcounter,0,0
true,30.281,1850,925,sortnetwrk,0,0
true,16.350,1850,925,totalizer,0,0
true,5.131,1900,475,kmtotalizer,0,0
true,213.636,1900,475,seqcounter,0,0
true,31.255,1900,475,sortnetwrk,0,0
true,13.795,1900,475,totalizer,0,0
true,14.801,1900,950,kmtotalizer,0,0
true,358.603,1900,950,seqcounter,0,0
true,30.059,1900,950,sortnetwrk,0,0
true,16.433,1900,950,totalizer,0,0
true,5.193,1950,487,kmtotalizer,0,0
true,223.837,1950,487,seqcounter,0,0
true,32.818,1950,487,sortnetwrk,0,0
true,14.017,1950,487,totalizer,0,0
true,13.388,1950,975,kmtotalizer,0,0
true,375.942,1950,975,seqcounter,0,0
true,35.087,1950,975,sortnetwrk,0,0
true,18.149,1950,975,totalizer,0,0
true,18.495,2000,1000,kmtotalizer,0,0
true,394.509,2000,1000,seqcounter,0,0
true,33.519,2000,1000,sortnetwrk,0,0
true,18.167,2000,1000,totalizer,0,0
true,5.253,2000,500,kmtotalizer,0,0
true,232.145,2000,500,seqcounter,0,0
true,32.318,2000,500,sortnetwrk,0,0
true,15.761,2000,500,totalizer,0,0
true,0.415,200,100,kmtotalizer,0,0
true,1.074,200,100,kmtotalizer,1,24790
false,0,200,100,kmtotalizer,2,0
true,0.454,200,100,seqcounter,0,0
true,11.996,200,100,seqcounter,1,118337
true,53.446,200,100,seqcounter,2,0
true,0.337,200,100,sortnetwrk,0,0
true,173.546,200,100,sortnetwrk,1,1579079
false,0,200,100,sortnetwrk,2,0
true,0.145,200,100,totalizer,0,0
true,0.944,200,100,totalizer,1,16827
false,0,200,100,totalizer,2,0
true,0.458,200,50,kmtotalizer,0,0
true,0.888,200,50,kmtotalizer,1,20747
false,0,200,50,kmtotalizer,2,0
true,0.341,200,50,seqcounter,0,0
true,6.243,200,50,seqcounter,1,125498
true,25.369,200,50,seqcounter,2,0
true,0.359,200,50,sortnetwrk,0,0
true,130.396,200,50,sortnetwrk,1,1314081
false,0,200,50,sortnetwrk,2,0
true,0.132,200,50,totalizer,0,0
true,0.844,200,50,totalizer,1,17256
false,0,200,50,totalizer,2,0
true,0.497,250,125,kmtotalizer,0,0
true,1.726,250,125,kmtotalizer,1,29963
false,0.000,250,125,kmtotalizer,2,0
true,0.736,250,125,seqcounter,0,0
true,47.625,250,125,seqcounter,1,303838
true,129.822,250,125,seqcounter,2,0
true,0.383,250,125,sortnetwrk,0,0
true,361.035,250,125,sortnetwrk,1,1940018
false,0.000,250,125,sortnetwrk,2,0
true,0.201,250,125,totalizer,0,0
true,1.550,250,125,totalizer,1,23928
false,0.000,250,125,totalizer,2,0
true,0.580,250,62,kmtotalizer,0,0
true,1.366,250,62,kmtotalizer,1,24761
false,0.000,250,62,kmtotalizer,2,0
true,0.587,250,62,seqcounter,0,0
true,23.453,250,62,seqcounter,1,277619
true,61.391,250,62,seqcounter,2,0
true,0.410,250,62,sortnetwrk,0,0
true,170.231,250,62,sortnetwrk,1,1350407
false,0.000,250,62,sortnetwrk,2,0
true,0.183,250,62,totalizer,0,0
true,1.226,250,62,totalizer,1,20064
false,0.000,250,62,totalizer,2,0
true,0.060,25,12,kmtotalizer,2,0
true,0.070,25,12,seqcounter,2,0
true,34.269,25,12,sortnetwrk,2,0
true,0.065,25,12,totalizer,2,0
true,0.057,25,6,kmtotalizer,2,0
true,0.061,25,6,seqcounter,2,0
true,42.381,25,6,sortnetwrk,2,0
true,0.056,25,6,totalizer,2,0
true,0.591,300,150,kmtotalizer,0,0
true,4.137,300,150,kmtotalizer,1,63750
false,0.000,300,150,kmtotalizer,2,0
true,1.122,300,150,seqcounter,0,0
true,57.610,300,150,seqcounter,1,494279
true,266.404,300,150,seqcounter,2,0
true,0.760,300,150,sortnetwrk,0,0
false,0.000,300,150,sortnetwrk,1,0
false,0.000,300,150,sortnetwrk,2,0
true,0.264,300,150,totalizer,0,0
true,2.746,300,150,totalizer,1,30198
false,0.000,300,150,totalizer,2,0
true,0.815,300,75,kmtotalizer,0,0
true,2.605,300,75,kmtotalizer,1,40018
false,0.000,300,75,kmtotalizer,2,0
true,0.880,300,75,seqcounter,0,0
true,29.015,300,75,seqcounter,1,396019
true,126.744,300,75,seqcounter,2,0
true,0.875,300,75,sortnetwrk,0,0
false,0.000,300,75,sortnetwrk,1,0
false,0.000,300,75,sortnetwrk,2,0
true,0.242,300,75,totalizer,0,0
true,1.874,300,75,totalizer,1,25637
false,0.000,300,75,totalizer,2,0
true,0.700,350,175,kmtotalizer,0,0
true,6.733,350,175,kmtotalizer,1,79881
false,0.000,350,175,kmtotalizer,2,0
true,2.802,350,175,seqcounter,0,0
true,572.621,350,175,seqcounter,1,1117191
true,442.326,350,175,seqcounter,2,0
true,0.932,350,175,sortnetwrk,0,0
false,0.000,350,175,sortnetwrk,1,0
false,0.000,350,175,sortnetwrk,2,0
true,0.328,350,175,totalizer,0,0
true,4.326,350,175,totalizer,1,43660
false,0.000,350,175,totalizer,2,0
true,0.390,350,87,kmtotalizer,0,0
true,5.157,350,87,kmtotalizer,1,74004
false,0.000,350,87,kmtotalizer,2,0
true,1.264,350,87,seqcounter,0,0
true,58.635,350,87,seqcounter,1,510871
true,230.547,350,87,seqcounter,2,0
true,0.956,350,87,sortnetwrk,0,0
false,0.000,350,87,sortnetwrk,1,0
false,0.000,350,87,sortnetwrk,2,0
true,0.300,350,87,totalizer,0,0
true,3.296,350,87,totalizer,1,32612
false,0.000,350,87,totalizer,2,0
true,0.321,400,100,kmtotalizer,0,0
true,6.964,400,100,kmtotalizer,1,79087
false,971.820,400,100,kmtotalizer,2,0
true,1.881,400,100,seqcounter,0,0
true,214.197,400,100,seqcounter,1,1060946
true,324.431,400,100,seqcounter,2,0
true,0.987,400,100,sortnetwrk,0,0
false,0.000,400,100,sortnetwrk,1,0
false,0.000,400,100,sortnetwrk,2,0
true,0.359,400,100,totalizer,0,0
true,4.358,400,100,totalizer,1,40854
false,0.000,400,100,totalizer,2,0
true,0.836,400,200,kmtotalizer,0,0
true,9.687,400,200,kmtotalizer,1,90365
false,0.000,400,200,kmtotalizer,2,0
true,3.928,400,200,seqcounter,0,0
true,465.707,400,200,seqcounter,1,1328605
true,687.026,400,200,seqcounter,2,0
true,0.906,400,200,sortnetwrk,0,0
false,0.000,400,200,sortnetwrk,1,0
false,963.603,400,200,sortnetwrk,2,0
true,0.398,400,200,totalizer,0,0
true,7.808,400,200,totalizer,1,72366
false,0.000,400,200,totalizer,2,0
true,0.491,450,112,kmtotalizer,0,0
true,10.215,450,112,kmtotalizer,1,97073
true,4.579,450,112,seqcounter,0,0
true,262.711,450,112,seqcounter,1,1215494
true,1.045,450,112,sortnetwrk,0,0
false,0.000,450,112,sortnetwrk,1,0
true,0.419,450,112,totalizer,0,0
true,9.660,450,112,totalizer,1,88783
true,1.060,450,225,kmtotalizer,0,0
true,13.703,450,225,kmtotalizer,1,112834
true,9.106,450,225,seqcounter,0,0
true,458.017,450,225,seqcounter,1,1665726
true,1.011,450,225,sortnetwrk,0,0
false,0.000,450,225,sortnetwrk,1,0
true,0.469,450,225,totalizer,0,0
true,11.294,450,225,totalizer,1,77745
true,0.464,500,125,kmtotalizer,0,0
true,13.250,500,125,kmtotalizer,1,102335
true,8.467,500,125,seqcounter,0,0
true,347.851,500,125,seqcounter,1,1427835
true,1.139,500,125,sortnetwrk,0,0
false,0.000,500,125,sortnetwrk,1,0
true,0.511,500,125,totalizer,0,0
true,13.219,500,125,totalizer,1,84677
true,1.631,500,250,kmtotalizer,0,0
true,44.280,500,250,kmtotalizer,1,306356
true,14.754,500,250,seqcounter,0,0
true,748.635,500,250,seqcounter,1,1740638
true,1.042,500,250,sortnetwrk,0,0
false,0.000,500,250,sortnetwrk,1,0
true,0.561,500,250,totalizer,0,0
true,17.029,500,250,totalizer,1,97892
true,0.052,50,12,kmtotalizer,0,0
true,0.011,50,12,kmtotalizer,1,779
true,0.258,50,12,kmtotalizer,2,0
true,0.023,50,12,seqcounter,0,0
